date,macd,ticker,date
2017-01-03,0.0,cat,2017-01-03
2017-01-04,-0.008137018252625694,cat,2017-01-04
2017-01-05,-0.025632773965512,cat,2017-01-05
2017-01-06,-0.03171582775284776,cat,2017-01-06
2017-01-09,-0.057376406324735285,cat,2017-01-09
2017-01-10,-0.01780941936917202,cat,2017-01-10
2017-01-11,0.03995151285377574,cat,2017-01-11
2017-01-12,0.05093163607902795,cat,2017-01-12
2017-01-13,0.07875532151011555,cat,2017-01-13
2017-01-17,0.05686825186135991,cat,2017-01-17
2017-01-18,0.06484075136636136,cat,2017-01-18
2017-01-19,0.07219580848095575,cat,2017-01-19
2017-01-20,0.1357172424785631,cat,2017-01-20
2017-01-23,0.17544478912888906,cat,2017-01-23
2017-01-24,0.29514242783112365,cat,2017-01-24
2017-01-25,0.48312656429693845,cat,2017-01-25
2017-01-26,0.5703819964201102,cat,2017-01-26
2017-01-27,0.7273767482593314,cat,2017-01-27
2017-01-30,0.7162938563618866,cat,2017-01-30
2017-01-31,0.6349715419258217,cat,2017-01-31
2017-02-01,0.53284430004868,cat,2017-02-01
2017-02-02,0.3691630745716594,cat,2017-02-02
2017-02-03,0.20885721951337644,cat,2017-02-03
2017-02-06,0.05734217144909337,cat,2017-02-06
2017-02-07,-0.03452574496019167,cat,2017-02-07
2017-02-08,-0.13009025665230922,cat,2017-02-08
2017-02-09,-0.13822310696470197,cat,2017-02-09
2017-02-10,0.0033634273547136218,cat,2017-02-10
2017-02-13,0.25126036251475625,cat,2017-02-13
2017-02-14,0.4159365839919218,cat,2017-02-14
2017-02-15,0.5989615372018449,cat,2017-02-15
2017-02-16,0.6863254027022236,cat,2017-02-16
2017-02-17,0.7847248469543331,cat,2017-02-17
2017-02-21,0.8039758124308776,cat,2017-02-21
2017-02-22,0.8162819088543927,cat,2017-02-22
2017-02-23,0.6429850112238285,cat,2017-02-23
2017-02-24,0.4954033723393394,cat,2017-02-24
2017-02-27,0.5036588449666368,cat,2017-02-27
2017-02-28,0.4526320810478808,cat,2017-02-28
2017-03-01,0.5352097463553065,cat,2017-03-01
2017-03-02,0.3121000876568587,cat,2017-03-02
2017-03-03,0.18472503475562974,cat,2017-03-03
2017-03-06,0.11912457445760083,cat,2017-03-06
2017-03-07,0.0845632167296202,cat,2017-03-07
2017-03-08,-0.12557837109230263,cat,2017-03-08
2017-03-09,-0.4130769540039836,cat,2017-03-09
2017-03-10,-0.5711834640707139,cat,2017-03-10
2017-03-13,-0.6660777493608521,cat,2017-03-13
2017-03-14,-0.7858047931295573,cat,2017-03-14
2017-03-15,-0.7684615403794623,cat,2017-03-15
2017-03-16,-0.780869119392591,cat,2017-03-16
2017-03-17,-0.7775660620620641,cat,2017-03-17
2017-03-20,-0.5958553021539075,cat,2017-03-20
2017-03-21,-0.6500129330612481,cat,2017-03-21
2017-03-22,-0.6850117775306046,cat,2017-03-22
2017-03-23,-0.7183259395241066,cat,2017-03-23
2017-03-24,-0.7417122608340065,cat,2017-03-24
2017-03-27,-0.7955452705876809,cat,2017-03-27
2017-03-28,-0.7296019276408998,cat,2017-03-28
2017-03-29,-0.675812435778397,cat,2017-03-29
2017-03-30,-0.6011672984600409,cat,2017-03-30
2017-03-31,-0.5675347538127227,cat,2017-03-31
2017-04-03,-0.5684994412749234,cat,2017-04-03
2017-04-04,-0.4344429764825577,cat,2017-04-04
2017-04-05,-0.31687216254638884,cat,2017-04-05
2017-04-06,-0.11203602485095132,cat,2017-04-06
2017-04-07,0.02898633010565277,cat,2017-04-07
2017-04-10,0.2511061185573311,cat,2017-04-10
