boll_ub,ticker,date
,pg,2018-01-05
92.15882679959644,pg,2018-01-08
92.02727039912929,pg,2018-01-09
92.15395695564733,pg,2018-01-10
92.17280403732586,pg,2018-01-11
92.25527521717068,pg,2018-01-12
92.09790646595602,pg,2018-01-16
92.11725108824382,pg,2018-01-17
92.01367566869541,pg,2018-01-18
92.00500764640061,pg,2018-01-19
92.24108208204674,pg,2018-01-22
92.35967426434183,pg,2018-01-23
92.56122944441796,pg,2018-01-24
92.62858018474581,pg,2018-01-25
92.74357225666243,pg,2018-01-26
92.9412018109731,pg,2018-01-29
93.01277005999077,pg,2018-01-30
93.11572040682886,pg,2018-01-31
93.22147330832287,pg,2018-02-01
93.51044116724452,pg,2018-02-02
94.17355290920582,pg,2018-02-05
94.15914055186126,pg,2018-02-06
94.15626947439499,pg,2018-02-07
94.30583338265066,pg,2018-02-08
94.34236319303248,pg,2018-02-09
94.1491318341769,pg,2018-02-12
93.75288614809007,pg,2018-02-13
93.11747944588373,pg,2018-02-14
92.47375768871251,pg,2018-02-15
91.5265565873831,pg,2018-02-16
90.19635272844857,pg,2018-02-20
89.47737330290833,pg,2018-02-21
88.76378209833251,pg,2018-02-22
87.90210109081774,pg,2018-02-23
87.05197543596775,pg,2018-02-26
86.31224234760536,pg,2018-02-27
85.53579777543465,pg,2018-02-28
84.71272573168288,pg,2018-03-01
83.7406404848054,pg,2018-03-02
83.09320399799036,pg,2018-03-05
83.06654821770312,pg,2018-03-06
82.88382641152846,pg,2018-03-07
82.73134919535391,pg,2018-03-08
82.7330483578351,pg,2018-03-09
82.73368045646404,pg,2018-03-12
82.64676816879513,pg,2018-03-13
82.55271747021867,pg,2018-03-14
82.56177304613912,pg,2018-03-15
82.21037129662051,pg,2018-03-16
81.73360131133376,pg,2018-03-19
81.56433787614998,pg,2018-03-20
81.72864995195837,pg,2018-03-21
81.825055948504,pg,2018-03-22
81.85634941852247,pg,2018-03-23
81.55897732800335,pg,2018-03-26
81.32844992218496,pg,2018-03-27
81.34475274100616,pg,2018-03-28
81.38742097840729,pg,2018-03-29
81.31559113878836,pg,2018-04-02
81.1050409725449,pg,2018-04-03
80.97254479279034,pg,2018-04-04
80.93853667942744,pg,2018-04-05
80.75586331855058,pg,2018-04-06
80.47145877130683,pg,2018-04-09
80.26642085373736,pg,2018-04-10
80.06577906309967,pg,2018-04-11
79.96394531020556,pg,2018-04-12
79.93314841858788,pg,2018-04-13
79.88441823899501,pg,2018-04-16
79.85904498388784,pg,2018-04-17
79.85040154228122,pg,2018-04-18
80.16356659729882,pg,2018-04-19
80.61829640929216,pg,2018-04-20
81.09948066165737,pg,2018-04-23
81.56671382805058,pg,2018-04-24
81.87681812047938,pg,2018-04-25
81.88816974856954,pg,2018-04-26
81.73449904132312,pg,2018-04-27
81.78458126019149,pg,2018-04-30
81.67782994814362,pg,2018-05-01
81.49055599657758,pg,2018-05-02
81.18997444241491,pg,2018-05-03
80.8027267801405,pg,2018-05-04
80.41484137441813,pg,2018-05-07
79.93727931828408,pg,2018-05-08
79.36300239999113,pg,2018-05-09
78.8228568992296,pg,2018-05-10
78.07545850815659,pg,2018-05-11
77.11836233156019,pg,2018-05-14
75.9713476134403,pg,2018-05-15
74.50402478725954,pg,2018-05-16
74.23588352412382,pg,2018-05-17
74.17132186067387,pg,2018-05-18
74.34816603559494,pg,2018-05-21
74.53116745781936,pg,2018-05-22
74.72527461419563,pg,2018-05-23
74.82269061410737,pg,2018-05-24
75.00071291130067,pg,2018-05-25
75.12250198409251,pg,2018-05-29
75.36215155031873,pg,2018-05-30
75.2047456094057,pg,2018-05-31
75.08155207855636,pg,2018-06-01
75.14053538078247,pg,2018-06-04
75.09417905546655,pg,2018-06-05
74.89516921124307,pg,2018-06-06
75.21182134425833,pg,2018-06-07
76.02497071159591,pg,2018-06-08
76.73536195001829,pg,2018-06-11
77.21163460002418,pg,2018-06-12
77.42064430269818,pg,2018-06-13
77.54779296003069,pg,2018-06-14
77.91727983326612,pg,2018-06-15
77.97024753859269,pg,2018-06-18
78.09174247333993,pg,2018-06-19
78.14145496500339,pg,2018-06-20
78.24759514411878,pg,2018-06-21
78.45786577321259,pg,2018-06-22
78.72551298998145,pg,2018-06-25
78.96809643620931,pg,2018-06-26
79.15827010997619,pg,2018-06-27
79.18838993213112,pg,2018-06-28
79.16653995043477,pg,2018-06-29
79.19123958270521,pg,2018-07-02
79.04224993631863,pg,2018-07-03
79.12496416370885,pg,2018-07-05
79.39139847251413,pg,2018-07-06
79.43339780149849,pg,2018-07-09
79.81627928396998,pg,2018-07-10
80.01854120388448,pg,2018-07-11
80.13611807916509,pg,2018-07-12
80.24579036542725,pg,2018-07-13
80.44476123352646,pg,2018-07-16
80.58015522012423,pg,2018-07-17
80.65656066105609,pg,2018-07-18
80.45228516195559,pg,2018-07-19
80.28299661549588,pg,2018-07-20
80.2321401789246,pg,2018-07-23
80.23096533103238,pg,2018-07-24
80.28715109179711,pg,2018-07-25
80.39920441259602,pg,2018-07-26
80.62640389316205,pg,2018-07-27
80.7267519902539,pg,2018-07-30
80.94951648180279,pg,2018-07-31
81.03675382410881,pg,2018-08-01
81.53330851272615,pg,2018-08-02
82.02718032337535,pg,2018-08-03
82.38791048389126,pg,2018-08-06
82.80107063827259,pg,2018-08-07
83.09132240242761,pg,2018-08-08
83.1742533211271,pg,2018-08-09
83.26172816141721,pg,2018-08-10
83.35179551219723,pg,2018-08-13
