macd,ticker,date
0.0,trv,2018-01-05
-0.01592963781112644,trv,2018-01-08
0.01133275106047904,trv,2018-01-09
0.010456798085812125,trv,2018-01-10
0.018912735737103503,trv,2018-01-11
0.1258381777603006,trv,2018-01-12
0.2280317049285543,trv,2018-01-16
0.35661912468154355,trv,2018-01-17
0.46405171805918144,trv,2018-01-18
0.5597803601204703,trv,2018-01-19
0.7010182934558884,trv,2018-01-22
1.1746019556129284,trv,2018-01-23
1.5870667951523103,trv,2018-01-24
1.9244526366657624,trv,2018-01-25
2.2107124074738067,trv,2018-01-26
2.3722399747667,trv,2018-01-29
2.4511353243270833,trv,2018-01-30
2.557125380527026,trv,2018-01-31
2.6126089094798317,trv,2018-02-01
2.4902175452179733,trv,2018-02-02
1.9404046353320439,trv,2018-02-05
1.4466719989167416,trv,2018-02-06
1.1342479952953681,trv,2018-02-07
0.38804164512109196,trv,2018-02-08
-0.052920874237429416,trv,2018-02-09
-0.3211383464042683,trv,2018-02-12
-0.4951767384611685,trv,2018-02-13
-0.4806685041824039,trv,2018-02-14
-0.44357470395434007,trv,2018-02-15
-0.38913237084059915,trv,2018-02-16
-0.4949593444610514,trv,2018-02-20
-0.6109353999798088,trv,2018-02-21
-0.7611720185022932,trv,2018-02-22
-0.7134810827560614,trv,2018-02-23
-0.45540351559805003,trv,2018-02-26
-0.3264953730206628,trv,2018-02-27
-0.41373460894959635,trv,2018-02-28
-0.47951860781148525,trv,2018-03-01
-0.6084701196355127,trv,2018-03-02
-0.572552859734401,trv,2018-03-05
-0.3991546044510983,trv,2018-03-06
-0.4517652348999093,trv,2018-03-07
-0.42688614416212545,trv,2018-03-08
-0.19927715281841074,trv,2018-03-09
-0.08151066052383271,trv,2018-03-12
-0.05046070930123392,trv,2018-03-13
-0.11657862673644104,trv,2018-03-14
-0.09298921294649176,trv,2018-03-15
-0.007091681634193492,trv,2018-03-16
-0.0413874748663261,trv,2018-03-19
0.04655705582601399,trv,2018-03-20
0.08511033450250238,trv,2018-03-21
-0.11729518557186225,trv,2018-03-22
-0.529986184525086,trv,2018-03-23
-0.585925245453808,trv,2018-03-26
-0.7388549720749893,trv,2018-03-27
-0.6893616201093948,trv,2018-03-28
-0.6371965279610663,trv,2018-03-29
-0.9065654731750783,trv,2018-04-02
-0.9372983669053383,trv,2018-04-03
-0.8209633774307576,trv,2018-04-04
-0.6682259258116972,trv,2018-04-05
-0.7024969379586139,trv,2018-04-06
-0.722915602424024,trv,2018-04-09
-0.6807222478886956,trv,2018-04-10
-0.740627602322661,trv,2018-04-11
-0.7235699174978834,trv,2018-04-12
-0.7813306693545314,trv,2018-04-13
-0.7176192535908115,trv,2018-04-16
-0.6762036270498015,trv,2018-04-17
-0.7051744399544759,trv,2018-04-18
-0.7102929902296751,trv,2018-04-19
-0.6863284352190533,trv,2018-04-20
-0.628714362820233,trv,2018-04-23
-0.9224126287199681,trv,2018-04-24
-1.1945023875449579,trv,2018-04-25
