macd,ticker,date
0.0,xom,2018-01-05
0.008749986306199276,xom,2018-01-08
-0.0003245437205237067,xom,2018-01-09
-0.029355864010327082,xom,2018-01-10
-0.010689638891605568,xom,2018-01-11
0.02596081238033321,xom,2018-01-12
0.024102218422498822,xom,2018-01-16
0.07145498724139543,xom,2018-01-17
0.07487891144451453,xom,2018-01-18
0.0617957947875567,xom,2018-01-19
0.11007813916367581,xom,2018-01-22
0.14672545919012236,xom,2018-01-23
0.18494976862538692,xom,2018-01-24
0.20188630458825685,xom,2018-01-25
0.24946817326402027,xom,2018-01-26
0.2223944144385115,xom,2018-01-29
0.12286879650504545,xom,2018-01-30
0.07792609665673922,xom,2018-01-31
0.15598255380560033,xom,2018-02-01
-0.08167494853766755,xom,2018-02-02
-0.5825426741817097,xom,2018-02-05
-1.0552732857384228,xom,2018-02-06
-1.505180066827677,xom,2018-02-07
-1.896656739201802,xom,2018-02-08
-2.1989383957293,xom,2018-02-09
-2.36354101149567,xom,2018-02-12
-2.4726767636153824,xom,2018-02-13
-2.517512633076578,xom,2018-02-14
-2.541239701966248,xom,2018-02-15
-2.5062999287123233,xom,2018-02-16
-2.507751194456347,xom,2018-02-20
-2.5431800014542745,xom,2018-02-21
-2.469662537994651,xom,2018-02-22
-2.2593366981151206,xom,2018-02-23
-1.9707662171787206,xom,2018-02-26
-1.8231171776065764,xom,2018-02-27
-1.8195634893760655,xom,2018-02-28
-1.8368206834186793,xom,2018-03-01
-1.8025837157959046,xom,2018-03-02
-1.700093533971895,xom,2018-03-05
-1.6072582547873822,xom,2018-03-06
-1.6637359072872044,xom,2018-03-07
-1.6996782759555202,xom,2018-03-08
-1.6743491311929546,xom,2018-03-09
-1.5826702052199835,xom,2018-03-12
-1.54787927595126,xom,2018-03-13
-1.575264605839081,xom,2018-03-14
-1.5147869045271563,xom,2018-03-15
-1.3954502806721933,xom,2018-03-16
-1.3618791837897533,xom,2018-03-19
-1.3325489962818011,xom,2018-03-20
-1.2120084400335998,xom,2018-03-21
-1.2246631079148074,xom,2018-03-22
-1.2685394712357976,xom,2018-03-23
-1.2010669941664815,xom,2018-03-26
-1.1581322551594013,xom,2018-03-27
-1.1814537373724079,xom,2018-03-28
-1.0441823293126475,xom,2018-03-29
-1.0345148506261665,xom,2018-04-02
-0.8728631492802634,xom,2018-04-03
-0.7481312087805065,xom,2018-04-04
-0.5508655207583502,xom,2018-04-05
-0.48111245217513954,xom,2018-04-06
-0.42097903867508535,xom,2018-04-09
-0.19466563382474078,xom,2018-04-10
