date,dx_30,ticker,date
2018-01-02,,gs,2018-01-02
2018-01-03,100.0,gs,2018-01-03
2018-01-04,69.07375144606291,gs,2018-01-04
2018-01-05,45.87552243587888,gs,2018-01-05
2018-01-08,1.562817269633012,gs,2018-01-08
2018-01-09,5.128876939353853,gs,2018-01-09
2018-01-10,0.5754342269743329,gs,2018-01-10
2018-01-11,11.771816935147292,gs,2018-01-11
2018-01-12,28.232755586703856,gs,2018-01-12
2018-01-16,56.03226575570892,gs,2018-01-16
2018-01-17,8.232896277894614,gs,2018-01-17
2018-01-18,8.232896277894607,gs,2018-01-18
2018-01-19,1.5713505378741701,gs,2018-01-19
2018-01-22,30.05815612869679,gs,2018-01-22
2018-01-23,30.058156128696794,gs,2018-01-23
2018-01-24,44.9819494237177,gs,2018-01-24
2018-01-25,53.9610900566171,gs,2018-01-25
2018-01-26,53.9610900566171,gs,2018-01-26
2018-01-29,61.28765812617698,gs,2018-01-29
2018-01-30,52.104400205515724,gs,2018-01-30
2018-01-31,47.97219999149099,gs,2018-01-31
2018-02-01,52.547961445531875,gs,2018-02-01
2018-02-02,22.885106052352768,gs,2018-02-02
2018-02-05,21.12332978028433,gs,2018-02-05
2018-02-06,21.123329780284337,gs,2018-02-06
2018-02-07,12.844699162538195,gs,2018-02-07
2018-02-08,28.526952940374805,gs,2018-02-08
2018-02-09,37.044869885397304,gs,2018-02-09
2018-02-12,26.3752917702879,gs,2018-02-12
2018-02-13,25.791093238956297,gs,2018-02-13
2018-02-14,11.841711126361284,gs,2018-02-14
2018-02-15,1.7316867436852303,gs,2018-02-15
2018-02-16,0.5925701266911995,gs,2018-02-16
2018-02-20,4.144379344041379,gs,2018-02-20
2018-02-21,1.867558665896319,gs,2018-02-21
2018-02-22,6.449253016413816,gs,2018-02-22
2018-02-23,5.013919855274413,gs,2018-02-23
2018-02-26,4.94978153575474,gs,2018-02-26
2018-02-27,7.566930152490244,gs,2018-02-27
2018-02-28,3.7633220232171647,gs,2018-02-28
2018-03-01,15.12124674335992,gs,2018-03-01
2018-03-02,21.49594391663725,gs,2018-03-02
2018-03-05,10.053043024662129,gs,2018-03-05
2018-03-06,3.535667277116151,gs,2018-03-06
2018-03-07,7.520809539165134,gs,2018-03-07
2018-03-08,4.12297034532086,gs,2018-03-08
2018-03-09,1.8153986472540387,gs,2018-03-09
2018-03-12,9.594377231661692,gs,2018-03-12
2018-03-13,2.728978491660652,gs,2018-03-13
2018-03-14,4.080006872862606,gs,2018-03-14
2018-03-15,4.0800068728626,gs,2018-03-15
2018-03-16,2.215849578413011,gs,2018-03-16
2018-03-19,13.617766064507459,gs,2018-03-19
2018-03-20,13.617766064507464,gs,2018-03-20
2018-03-21,9.031510252286825,gs,2018-03-21
2018-03-22,23.531932510000647,gs,2018-03-22
2018-03-23,33.61858515686512,gs,2018-03-23
2018-03-26,30.1507508623344,gs,2018-03-26
2018-03-27,33.94941249173778,gs,2018-03-27
2018-03-28,35.584455112100635,gs,2018-03-28
2018-03-29,30.703359888690745,gs,2018-03-29
2018-04-02,37.01886538934469,gs,2018-04-02
2018-04-03,37.01886538934468,gs,2018-04-03
2018-04-04,30.09610533514277,gs,2018-04-04
2018-04-05,17.119439619441845,gs,2018-04-05
2018-04-06,27.923733018827107,gs,2018-04-06
2018-04-09,22.439522116203783,gs,2018-04-09
2018-04-10,16.530541578422056,gs,2018-04-10
2018-04-11,26.32648818289204,gs,2018-04-11
2018-04-12,12.775555170116052,gs,2018-04-12
2018-04-13,9.02510942191073,gs,2018-04-13
2018-04-16,9.025109421910715,gs,2018-04-16
2018-04-17,16.74676353645449,gs,2018-04-17
2018-04-18,16.903826532505047,gs,2018-04-18
2018-04-19,16.90382653250505,gs,2018-04-19
2018-04-20,19.50680284446297,gs,2018-04-20
2018-04-23,28.84337801436052,gs,2018-04-23
2018-04-24,37.808276031747106,gs,2018-04-24
2018-04-25,41.07304373344792,gs,2018-04-25
2018-04-26,41.073043733447925,gs,2018-04-26
2018-04-27,40.17572717935294,gs,2018-04-27
2018-04-30,36.26363001405979,gs,2018-04-30
2018-05-01,42.65633370326368,gs,2018-05-01
2018-05-02,43.42524321610859,gs,2018-05-02
2018-05-03,51.21982773682484,gs,2018-05-03
2018-05-04,41.557678075726926,gs,2018-05-04
2018-05-07,36.9316318744782,gs,2018-05-07
2018-05-08,28.812353553449743,gs,2018-05-08
2018-05-09,24.410371846705168,gs,2018-05-09
2018-05-10,14.288269313811508,gs,2018-05-10
2018-05-11,14.288269313811504,gs,2018-05-11
2018-05-14,11.309634228310152,gs,2018-05-14
2018-05-15,17.97664711124051,gs,2018-05-15
2018-05-16,18.162549019868937,gs,2018-05-16
2018-05-17,22.415246344752692,gs,2018-05-17
2018-05-18,26.711296340729447,gs,2018-05-18
2018-05-21,21.695396827008448,gs,2018-05-21
2018-05-22,19.304098767185405,gs,2018-05-22
2018-05-23,27.952043816701295,gs,2018-05-23
2018-05-24,29.587735525933308,gs,2018-05-24
2018-05-25,29.587735525933283,gs,2018-05-25
2018-05-29,47.021409239511,gs,2018-05-29
