date,close_60_sma,ticker,date
2017-01-03,106.28733825683594,trv,2017-01-03
2017-01-04,106.00162124633789,trv,2017-01-04
2017-01-05,105.34373474121094,trv,2017-01-05
2017-01-06,105.00160598754883,trv,2017-01-06
2017-01-09,104.62928924560546,trv,2017-01-09
2017-01-10,104.36057027180989,trv,2017-01-10
2017-01-11,104.22765350341797,trv,2017-01-11
2017-01-12,104.02906322479248,trv,2017-01-12
2017-01-13,103.9039077758789,trv,2017-01-13
2017-01-17,103.83982772827149,trv,2017-01-17
2017-01-18,103.87371410023083,trv,2017-01-18
2017-01-19,103.86166000366211,trv,2017-01-19
2017-01-20,103.85348921555739,trv,2017-01-20
2017-01-23,103.84774235316685,trv,2017-01-23
2017-01-24,103.77242940266927,trv,2017-01-24
2017-01-25,103.75213575363159,trv,2017-01-25
2017-01-26,103.75801759607651,trv,2017-01-26
2017-01-27,103.76178148057726,trv,2017-01-27
2017-01-30,103.73784838224712,trv,2017-01-30
2017-01-31,103.72817802429199,trv,2017-01-31
2017-02-01,103.66751861572266,trv,2017-02-01
2017-02-02,103.65592991222034,trv,2017-02-02
2017-02-03,103.6510825779127,trv,2017-02-03
2017-02-06,103.64260959625244,trv,2017-02-06
2017-02-07,103.63797912597656,trv,2017-02-07
2017-02-08,103.63539534348708,trv,2017-02-08
2017-02-09,103.66458723280165,trv,2017-02-09
2017-02-10,103.72152165004185,trv,2017-02-10
2017-02-13,103.77392341350686,trv,2017-02-13
2017-02-14,103.83836288452149,trv,2017-02-14
2017-02-15,103.91963097356981,trv,2017-02-15
2017-02-16,104.01807260513306,trv,2017-02-16
2017-02-17,104.11481059681286,trv,2017-02-17
2017-02-21,104.19551557653091,trv,2017-02-21
2017-02-22,104.28039964948381,trv,2017-02-22
2017-02-23,104.37180180019803,trv,2017-02-23
2017-02-24,104.45612479544975,trv,2017-02-24
2017-02-27,104.53068843640779,trv,2017-02-27
2017-02-28,104.60593707744891,trv,2017-02-28
2017-03-01,104.73786334991455,trv,2017-03-01
2017-03-02,104.85327632252763,trv,2017-03-02
2017-03-03,104.9550301688058,trv,2017-03-03
2017-03-06,105.01504587572674,trv,2017-03-06
2017-03-07,105.06873720342463,trv,2017-03-07
2017-03-08,105.11552412245008,trv,2017-03-08
2017-03-09,105.17295986673106,trv,2017-03-09
2017-03-10,105.2454428165517,trv,2017-03-10
2017-03-13,105.30238310496013,trv,2017-03-13
2017-03-14,105.36547835992307,trv,2017-03-14
2017-03-15,105.4325910949707,trv,2017-03-15
2017-03-16,105.49273891074985,trv,2017-03-16
2017-03-17,105.55737319359413,trv,2017-03-17
2017-03-20,105.60655903366377,trv,2017-03-20
2017-03-21,105.64295549745913,trv,2017-03-21
2017-03-22,105.6834926258434,trv,2017-03-22
2017-03-23,105.71090071541923,trv,2017-03-23
2017-03-24,105.72928257992393,trv,2017-03-24
2017-03-27,105.7506886186271,trv,2017-03-27
2017-03-28,105.78320532330012,trv,2017-03-28
2017-03-29,105.79592717488607,trv,2017-03-29
2017-03-30,105.80761349995932,trv,2017-03-30
2017-03-31,105.82160428365071,trv,2017-03-31
2017-04-03,105.86137008666992,trv,2017-04-03
2017-04-04,105.90540377298991,trv,2017-04-04
2017-04-05,105.96777737935385,trv,2017-04-05
2017-04-06,106.02675031026205,trv,2017-04-06
2017-04-07,106.07309125264486,trv,2017-04-07
2017-04-10,106.14676297505697,trv,2017-04-10
2017-04-11,106.2172176361084,trv,2017-04-11
2017-04-12,106.28564275105795,trv,2017-04-12
2017-04-13,106.32454172770183,trv,2017-04-13
2017-04-17,106.39197807312011,trv,2017-04-17
2017-04-18,106.44173723856608,trv,2017-04-18
2017-04-19,106.48604698181153,trv,2017-04-19
2017-04-20,106.52554537455241,trv,2017-04-20
2017-04-21,106.55612360636393,trv,2017-04-21
2017-04-24,106.60161946614583,trv,2017-04-24
2017-04-25,106.65860455830892,trv,2017-04-25
2017-04-26,106.73440081278483,trv,2017-04-26
2017-04-27,106.80845057169596,trv,2017-04-27
2017-04-28,106.89330215454102,trv,2017-04-28
2017-05-01,106.95511131286621,trv,2017-05-01
2017-05-02,107.0026414235433,trv,2017-05-02
2017-05-03,107.05841293334962,trv,2017-05-03
2017-05-04,107.11286582946778,trv,2017-05-04
2017-05-05,107.17380561828614,trv,2017-05-05
2017-05-08,107.21625989278158,trv,2017-05-08
2017-05-09,107.22917772928874,trv,2017-05-09
2017-05-10,107.25329093933105,trv,2017-05-10
2017-05-11,107.26742833455404,trv,2017-05-11
2017-05-12,107.27145970662436,trv,2017-05-12
2017-05-15,107.2586134592692,trv,2017-05-15
2017-05-16,107.23870836893717,trv,2017-05-16
2017-05-17,107.22937850952148,trv,2017-05-17
2017-05-18,107.22420298258463,trv,2017-05-18
2017-05-19,107.21096127827963,trv,2017-05-19
2017-05-22,107.2117083231608,trv,2017-05-22
2017-05-23,107.21597302754721,trv,2017-05-23
2017-05-24,107.22305297851562,trv,2017-05-24
2017-05-25,107.21444384256999,trv,2017-05-25
2017-05-26,107.2118371327718,trv,2017-05-26
2017-05-30,107.21597607930501,trv,2017-05-30
2017-05-31,107.26313667297363,trv,2017-05-31
2017-06-01,107.32103754679362,trv,2017-06-01
2017-06-02,107.37864379882812,trv,2017-06-02
2017-06-05,107.4299149831136,trv,2017-06-05
2017-06-06,107.44759508768718,trv,2017-06-06
2017-06-07,107.47810897827148,trv,2017-06-07
2017-06-08,107.50584729512532,trv,2017-06-08
2017-06-09,107.54962259928385,trv,2017-06-09
2017-06-12,107.60360120137533,trv,2017-06-12
2017-06-13,107.65805892944336,trv,2017-06-13
2017-06-14,107.75157178243002,trv,2017-06-14
2017-06-15,107.87066383361817,trv,2017-06-15
2017-06-16,107.990970993042,trv,2017-06-16
2017-06-19,108.1048422495524,trv,2017-06-19
2017-06-20,108.23348833719889,trv,2017-06-20
2017-06-21,108.35607897440592,trv,2017-06-21
2017-06-22,108.46302922566731,trv,2017-06-22
2017-06-23,108.57905820210775,trv,2017-06-23
2017-06-26,108.69201787312825,trv,2017-06-26
2017-06-27,108.80374997456869,trv,2017-06-27
2017-06-28,108.9237673441569,trv,2017-06-28
2017-06-29,109.01979738871256,trv,2017-06-29
2017-06-30,109.1134817759196,trv,2017-06-30
2017-07-03,109.22462107340495,trv,2017-07-03
2017-07-05,109.32713152567545,trv,2017-07-05
2017-07-06,109.41268297831218,trv,2017-07-06
2017-07-07,109.51172663370768,trv,2017-07-07
2017-07-10,109.58604583740234,trv,2017-07-10
2017-07-11,109.66339696248373,trv,2017-07-11
2017-07-12,109.72323328653971,trv,2017-07-12
2017-07-13,109.802974319458,trv,2017-07-13
2017-07-14,109.89216918945313,trv,2017-07-14
2017-07-17,110.0113161722819,trv,2017-07-17
2017-07-18,110.11684850056966,trv,2017-07-18
2017-07-19,110.21450475056966,trv,2017-07-19
2017-07-20,110.27310345967611,trv,2017-07-20
2017-07-21,110.33013140360514,trv,2017-07-21
2017-07-24,110.40317662556966,trv,2017-07-24
2017-07-25,110.49959335327148,trv,2017-07-25
2017-07-26,110.58144607543946,trv,2017-07-26
2017-07-27,110.673601659139,trv,2017-07-27
