date,boll_ub,ticker,date
2018-01-02,,v,2018-01-02
2018-01-03,113.3758325614196,v,2018-01-03
2018-01-04,113.70984292778431,v,2018-01-04
2018-01-05,116.55810192216869,v,2018-01-05
2018-01-08,117.65844962903931,v,2018-01-08
2018-01-09,117.98854422490639,v,2018-01-09
2018-01-10,118.08316797293172,v,2018-01-10
2018-01-11,118.41523062063912,v,2018-01-11
2018-01-12,118.69304447789766,v,2018-01-12
2018-01-16,118.95646493734857,v,2018-01-16
2018-01-17,119.64585169343187,v,2018-01-17
2018-01-18,120.50297682433389,v,2018-01-18
2018-01-19,120.97973869520429,v,2018-01-19
2018-01-22,121.78942734041358,v,2018-01-22
2018-01-23,122.47325438757761,v,2018-01-23
2018-01-24,122.9682369681673,v,2018-01-24
2018-01-25,123.50110319225136,v,2018-01-25
2018-01-26,124.16263606929627,v,2018-01-26
2018-01-29,124.41108987418491,v,2018-01-29
2018-01-30,124.43713134983741,v,2018-01-30
2018-01-31,124.27831284959831,v,2018-01-31
2018-02-01,124.3357536417777,v,2018-02-01
2018-02-02,123.87402093536652,v,2018-02-02
2018-02-05,124.22786687205837,v,2018-02-05
2018-02-06,124.19624042685126,v,2018-02-06
2018-02-07,124.16236311373768,v,2018-02-07
2018-02-08,124.93652654017534,v,2018-02-08
2018-02-09,125.18903565689872,v,2018-02-09
2018-02-12,125.23432993411558,v,2018-02-12
2018-02-13,125.27772055741626,v,2018-02-13
2018-02-14,125.23219037401813,v,2018-02-14
2018-02-15,125.18247806588117,v,2018-02-15
2018-02-16,125.13812229904545,v,2018-02-16
2018-02-20,124.93280260350087,v,2018-02-20
2018-02-21,124.59471216831061,v,2018-02-21
2018-02-22,124.24287528478783,v,2018-02-22
2018-02-23,123.94353746985233,v,2018-02-23
2018-02-26,123.64974271391465,v,2018-02-26
2018-02-27,123.45332689022969,v,2018-02-27
2018-02-28,123.4015288485695,v,2018-02-28
2018-03-01,123.02390391809662,v,2018-03-01
2018-03-02,122.31946220659285,v,2018-03-02
2018-03-05,122.42219486134249,v,2018-03-05
2018-03-06,122.30718592741782,v,2018-03-06
2018-03-07,122.42620769748974,v,2018-03-07
2018-03-08,122.57379116240735,v,2018-03-08
2018-03-09,122.1621157194631,v,2018-03-09
2018-03-12,121.97742043218076,v,2018-03-12
2018-03-13,121.88384794749672,v,2018-03-13
2018-03-14,121.57051564263847,v,2018-03-14
2018-03-15,121.65067058350289,v,2018-03-15
2018-03-16,121.92946355492705,v,2018-03-16
