boll_lb,ticker,date
,ko,2018-01-05
45.93600532962972,ko,2018-01-08
45.86420365033283,ko,2018-01-09
45.897649699763015,ko,2018-01-10
45.90684346161782,ko,2018-01-11
45.927120898499616,ko,2018-01-12
45.79242349462175,ko,2018-01-16
45.66102735177076,ko,2018-01-17
45.62094286432992,ko,2018-01-18
45.55176573066339,ko,2018-01-19
45.48817744261907,ko,2018-01-22
45.463546268670626,ko,2018-01-23
45.395627760440256,ko,2018-01-24
45.376271469496075,ko,2018-01-25
45.255508922758416,ko,2018-01-26
45.30724137582793,ko,2018-01-29
45.36914800251055,ko,2018-01-30
45.42221401370858,ko,2018-01-31
45.47566911792104,ko,2018-02-01
45.4975318652297,ko,2018-02-02
45.2096187542206,ko,2018-02-05
44.905278618079286,ko,2018-02-06
44.580286284816346,ko,2018-02-07
43.89443953047495,ko,2018-02-08
43.33775074259857,ko,2018-02-09
43.0344736392166,ko,2018-02-12
42.77866558861023,ko,2018-02-13
42.523770319061825,ko,2018-02-14
42.38878118173589,ko,2018-02-15
42.29262174985382,ko,2018-02-16
42.0948046642955,ko,2018-02-20
41.831267157176576,ko,2018-02-21
41.67590643283058,ko,2018-02-22
41.64544356111874,ko,2018-02-23
41.781030398224814,ko,2018-02-26
41.82095308627508,ko,2018-02-27
41.839253403373846,ko,2018-02-28
42.03023849402555,ko,2018-03-01
42.395221101159706,ko,2018-03-02
42.78514238962053,ko,2018-03-05
42.82212227209994,ko,2018-03-06
42.83977557330233,ko,2018-03-07
42.84878663078452,ko,2018-03-08
42.9155026692252,ko,2018-03-09
43.03026945644129,ko,2018-03-12
43.03048864397815,ko,2018-03-13
43.00548352732863,ko,2018-03-14
42.97234117311941,ko,2018-03-15
42.94648701198378,ko,2018-03-16
42.945145494182455,ko,2018-03-19
42.85521506640379,ko,2018-03-20
42.79191549460914,ko,2018-03-21
42.65707918328803,ko,2018-03-22
42.41004002124687,ko,2018-03-23
42.282163100100824,ko,2018-03-26
42.20762431251648,ko,2018-03-27
42.21729463110778,ko,2018-03-28
42.21729463110778,ko,2018-03-29
42.10848798943528,ko,2018-04-02
42.09261405917787,ko,2018-04-03
42.081338865129936,ko,2018-04-04
42.061317700643265,ko,2018-04-05
42.08529505320522,ko,2018-04-06
42.16341510033101,ko,2018-04-09
42.20913469023641,ko,2018-04-10
42.268502996950836,ko,2018-04-11
42.258589437692045,ko,2018-04-12
42.20586630226503,ko,2018-04-13
42.154137196639724,ko,2018-04-16
42.11458789191635,ko,2018-04-17
42.14512302680618,ko,2018-04-18
42.21972345139834,ko,2018-04-19
42.34004156236967,ko,2018-04-20
42.59436922148371,ko,2018-04-23
42.67766649364019,ko,2018-04-24
42.560957585553595,ko,2018-04-25
42.45941848626644,ko,2018-04-26
42.4449355538263,ko,2018-04-27
42.54822173573773,ko,2018-04-30
42.40452076024925,ko,2018-05-01
42.10858664897338,ko,2018-05-02
41.82525197869503,ko,2018-05-03
41.673183768876136,ko,2018-05-04
41.49799163868228,ko,2018-05-07
41.28061906918424,ko,2018-05-08
41.08659709015952,ko,2018-05-09
40.98477387313387,ko,2018-05-10
40.93180337380909,ko,2018-05-11
40.92076537211928,ko,2018-05-14
40.95032052363653,ko,2018-05-15
40.95218294150438,ko,2018-05-16
41.0800357859715,ko,2018-05-17
41.13971535073755,ko,2018-05-18
41.3180667118593,ko,2018-05-21
41.34747591928271,ko,2018-05-22
41.34709534794536,ko,2018-05-23
41.355269243541635,ko,2018-05-24
41.464535876038035,ko,2018-05-25
41.5692288328101,ko,2018-05-29
41.47629667284165,ko,2018-05-30
41.43929627472007,ko,2018-05-31
41.426030248483784,ko,2018-06-01
41.331193152220024,ko,2018-06-04
41.331088375519386,ko,2018-06-05
41.352557986652165,ko,2018-06-06
41.40942829176906,ko,2018-06-07
41.35967693258907,ko,2018-06-08
41.32659328275334,ko,2018-06-11
41.307772188404314,ko,2018-06-12
41.42548520134696,ko,2018-06-13
41.66395995866284,ko,2018-06-14
41.73702475389566,ko,2018-06-15
41.878366339698864,ko,2018-06-18
41.989979194140425,ko,2018-06-19
42.138077885114846,ko,2018-06-20
42.25058790994904,ko,2018-06-21
42.411579658170254,ko,2018-06-22
42.5948149778449,ko,2018-06-25
42.70865706106531,ko,2018-06-26
42.6990278458722,ko,2018-06-27
42.76035629776338,ko,2018-06-28
42.81469989904569,ko,2018-06-29
42.82651044494965,ko,2018-07-02
42.890037490076686,ko,2018-07-03
42.83423540496072,ko,2018-07-05
42.812814763896576,ko,2018-07-06
42.797572023713165,ko,2018-07-09
42.71723721953425,ko,2018-07-10
42.683752625783065,ko,2018-07-11
42.66036572823237,ko,2018-07-12
42.669448551647164,ko,2018-07-13
42.65325764128326,ko,2018-07-16
42.63683980292427,ko,2018-07-17
42.65382118222776,ko,2018-07-18
42.744279579230074,ko,2018-07-19
42.88313581753073,ko,2018-07-20
43.037816679671096,ko,2018-07-23
43.13210524717061,ko,2018-07-24
43.212363734700574,ko,2018-07-25
43.40122093375738,ko,2018-07-26
43.54941212815155,ko,2018-07-27
43.64994021519784,ko,2018-07-30
43.766569709890106,ko,2018-07-31
43.910776587877386,ko,2018-08-01
43.972297604992484,ko,2018-08-02
44.01762916646246,ko,2018-08-03
44.13793506808821,ko,2018-08-06
44.194541910991184,ko,2018-08-07
44.310672118007496,ko,2018-08-08
44.46572167068954,ko,2018-08-09
44.63054330881739,ko,2018-08-10
44.809831727562994,ko,2018-08-13
44.890105034105716,ko,2018-08-14
45.01676601342095,ko,2018-08-15
45.168204297599395,ko,2018-08-16
45.29151445580479,ko,2018-08-17
45.55467502958008,ko,2018-08-20
45.78050858268402,ko,2018-08-21
45.75444362249798,ko,2018-08-22
45.66622388687099,ko,2018-08-23
45.57373170304557,ko,2018-08-24
45.50365808615308,ko,2018-08-27
45.37824697870323,ko,2018-08-28
45.25419738497793,ko,2018-08-29
45.051798960648476,ko,2018-08-30
44.79352101807577,ko,2018-08-31
44.64024756319191,ko,2018-09-04
44.6121456893878,ko,2018-09-05
44.60676738865899,ko,2018-09-06
44.610103481978676,ko,2018-09-07
44.610421487100005,ko,2018-09-10
44.61278912660912,ko,2018-09-11
44.609058383697715,ko,2018-09-12
44.60642825695255,ko,2018-09-13
44.61110847726081,ko,2018-09-14
44.637138786303964,ko,2018-09-17
44.70267035543465,ko,2018-09-18
44.71407097956479,ko,2018-09-19
44.657460974032695,ko,2018-09-20
44.62802971693666,ko,2018-09-21
44.641542167142006,ko,2018-09-24
44.64090333804603,ko,2018-09-25
44.67951126815206,ko,2018-09-26
44.73044901051222,ko,2018-09-27
44.86133591874737,ko,2018-09-28
45.14225042546849,ko,2018-10-01
45.417848054270614,ko,2018-10-02
45.51820905976233,ko,2018-10-03
45.53032070276524,ko,2018-10-04
45.55593312269141,ko,2018-10-05
45.54863651168979,ko,2018-10-08
45.5548106280067,ko,2018-10-09
45.4964002789519,ko,2018-10-10
45.15561461746118,ko,2018-10-11
44.90095297479883,ko,2018-10-12
44.744711542801674,ko,2018-10-15
44.70834713941775,ko,2018-10-16
44.70394056810384,ko,2018-10-17
44.70478536095551,ko,2018-10-18
44.722741048576324,ko,2018-10-19
44.72185191971953,ko,2018-10-22
44.73006739508306,ko,2018-10-23
44.704682374408925,ko,2018-10-24
44.69761509831196,ko,2018-10-25
44.691330471206285,ko,2018-10-26
44.68509001156418,ko,2018-10-29
44.53865972779995,ko,2018-10-30
44.40256111649051,ko,2018-10-31
44.34036644737996,ko,2018-11-01
44.275247214262116,ko,2018-11-02
44.108734748671736,ko,2018-11-05
43.93523187523467,ko,2018-11-06
43.854941611482175,ko,2018-11-07
44.02982507957006,ko,2018-11-08
44.23443239172494,ko,2018-11-09
