date,cci_30,ticker,date
2018-01-05,,pfe,2018-01-05
2018-01-08,-66.66666666666454,pfe,2018-01-08
2018-01-09,-65.60411304483132,pfe,2018-01-09
2018-01-10,-60.470522510500395,pfe,2018-01-10
2018-01-11,-0.9677339686995533,pfe,2018-01-11
2018-01-12,28.540709523645035,pfe,2018-01-12
2018-01-16,76.19493259915753,pfe,2018-01-16
2018-01-17,194.7907410562039,pfe,2018-01-17
2018-01-18,102.09308909264074,pfe,2018-01-18
2018-01-19,72.54572022974831,pfe,2018-01-19
2018-01-22,66.0327899895646,pfe,2018-01-22
2018-01-23,30.43548443788592,pfe,2018-01-23
2018-01-24,61.5705431096864,pfe,2018-01-24
2018-01-25,133.0481901959274,pfe,2018-01-25
2018-01-26,357.4460400072427,pfe,2018-01-26
2018-01-29,297.7575004636965,pfe,2018-01-29
2018-01-30,116.8839825750733,pfe,2018-01-30
2018-01-31,27.993446627738415,pfe,2018-01-31
2018-02-01,-4.824741253571187,pfe,2018-02-01
2018-02-02,-26.07264807124513,pfe,2018-02-02
2018-02-05,-237.31224222294,pfe,2018-02-05
2018-02-06,-238.32090709103383,pfe,2018-02-06
2018-02-07,-174.58022545664514,pfe,2018-02-07
2018-02-08,-243.32342455757978,pfe,2018-02-08
2018-02-09,-223.4635820756531,pfe,2018-02-09
2018-02-12,-152.72983116314933,pfe,2018-02-12
2018-02-13,-119.15258533098167,pfe,2018-02-13
2018-02-14,-94.05666868209374,pfe,2018-02-14
2018-02-15,-57.391996976688105,pfe,2018-02-15
2018-02-16,-7.345928280694131,pfe,2018-02-16
2018-02-20,-10.734311545797038,pfe,2018-02-20
2018-02-21,-16.453149198357305,pfe,2018-02-21
2018-02-22,-29.54807323710125,pfe,2018-02-22
2018-02-23,-8.413772409881561,pfe,2018-02-23
2018-02-26,40.68538578346446,pfe,2018-02-26
2018-02-27,46.842859804880305,pfe,2018-02-27
2018-02-28,26.778506375776374,pfe,2018-02-28
2018-03-01,-36.74886795091693,pfe,2018-03-01
2018-03-02,-27.810806037730593,pfe,2018-03-02
2018-03-05,-8.099293587215636,pfe,2018-03-05
2018-03-06,-13.021811890252128,pfe,2018-03-06
2018-03-07,-19.412941255163062,pfe,2018-03-07
2018-03-08,15.989184525243878,pfe,2018-03-08
2018-03-09,51.016608802279514,pfe,2018-03-09
2018-03-12,56.48962642931646,pfe,2018-03-12
2018-03-13,68.94981628297627,pfe,2018-03-13
2018-03-14,58.35143530323743,pfe,2018-03-14
2018-03-15,68.31079778845697,pfe,2018-03-15
2018-03-16,92.42853446698363,pfe,2018-03-16
2018-03-19,54.28262335868523,pfe,2018-03-19
2018-03-20,43.974097852071225,pfe,2018-03-20
2018-03-21,48.647735109813894,pfe,2018-03-21
2018-03-22,-25.949518143353956,pfe,2018-03-22
2018-03-23,-137.46590919112265,pfe,2018-03-23
2018-03-26,-150.80577240342504,pfe,2018-03-26
2018-03-27,-121.62950802492777,pfe,2018-03-27
2018-03-28,-89.85762499022006,pfe,2018-03-28
2018-03-29,-95.70623607470503,pfe,2018-03-29
2018-04-02,-121.93218936097634,pfe,2018-04-02
