date,boll_ub,ticker,date
2018-01-02,,wba,2018-01-02
2018-01-03,64.96582763605815,wba,2018-01-03
2018-01-04,66.86880222181118,wba,2018-01-04
2018-01-05,66.11677423912617,wba,2018-01-05
2018-01-08,65.72103588541361,wba,2018-01-08
2018-01-09,65.40060920623795,wba,2018-01-09
2018-01-10,65.24888780397563,wba,2018-01-10
2018-01-11,65.4788013171965,wba,2018-01-11
2018-01-12,65.84744415688486,wba,2018-01-12
2018-01-16,66.06849678151127,wba,2018-01-16
2018-01-17,66.15558668697605,wba,2018-01-17
2018-01-18,66.2580193618861,wba,2018-01-18
2018-01-19,66.42799433789415,wba,2018-01-19
2018-01-22,66.76910244053494,wba,2018-01-22
2018-01-23,66.94134117504699,wba,2018-01-23
2018-01-24,67.13184986085831,wba,2018-01-24
2018-01-25,67.4681651278392,wba,2018-01-25
2018-01-26,67.91877956582856,wba,2018-01-26
2018-01-29,68.51714145534804,wba,2018-01-29
2018-01-30,68.43149291892394,wba,2018-01-30
2018-01-31,68.43429929710533,wba,2018-01-31
2018-02-01,68.45482412713699,wba,2018-02-01
2018-02-02,68.23982085621515,wba,2018-02-02
2018-02-05,68.60114894967117,wba,2018-02-05
2018-02-06,68.76111597534849,wba,2018-02-06
2018-02-07,68.91201959890208,wba,2018-02-07
2018-02-08,69.51532532875304,wba,2018-02-08
2018-02-09,69.87254386689729,wba,2018-02-09
2018-02-12,70.05709676965863,wba,2018-02-12
2018-02-13,70.15566303371273,wba,2018-02-13
2018-02-14,70.1391297416699,wba,2018-02-14
2018-02-15,69.98150330910597,wba,2018-02-15
2018-02-16,69.72025319129068,wba,2018-02-16
2018-02-20,69.31058411803133,wba,2018-02-20
2018-02-21,68.91670786727204,wba,2018-02-21
2018-02-22,68.41652309383164,wba,2018-02-22
2018-02-23,67.67455818631626,wba,2018-02-23
2018-02-26,66.61883435154988,wba,2018-02-26
2018-02-27,64.93828606384872,wba,2018-02-27
2018-02-28,64.16548418996364,wba,2018-02-28
2018-03-01,63.49046528605501,wba,2018-03-01
2018-03-02,62.39869701974392,wba,2018-03-02
2018-03-05,61.90653166204361,wba,2018-03-05
2018-03-06,61.893068512127265,wba,2018-03-06
2018-03-07,61.69340662351857,wba,2018-03-07
2018-03-08,61.51060800132502,wba,2018-03-08
2018-03-09,61.5428142939789,wba,2018-03-09
