date,dx_30,ticker,date
2018-01-02,,unh,2018-01-02
2018-01-03,100.0,unh,2018-01-03
2018-01-04,100.0,unh,2018-01-04
2018-01-05,100.0,unh,2018-01-05
2018-01-08,96.32542631932738,unh,2018-01-08
2018-01-09,59.11065773423595,unh,2018-01-09
2018-01-10,52.73195264346903,unh,2018-01-10
2018-01-11,58.69744592306827,unh,2018-01-11
2018-01-12,74.0242133907289,unh,2018-01-12
2018-01-16,82.77817473362205,unh,2018-01-16
2018-01-17,86.54251411945279,unh,2018-01-17
2018-01-18,89.57976519340967,unh,2018-01-18
2018-01-19,89.80385138053177,unh,2018-01-19
2018-01-22,89.80385138053177,unh,2018-01-22
2018-01-23,91.31242161608651,unh,2018-01-23
2018-01-24,91.45270683162735,unh,2018-01-24
2018-01-25,91.45270683162735,unh,2018-01-25
2018-01-26,92.51931795018089,unh,2018-01-26
2018-01-29,93.24384014435596,unh,2018-01-29
2018-01-30,9.010684698528861,unh,2018-01-30
2018-01-31,19.459634817904934,unh,2018-01-31
2018-02-01,13.165903869181575,unh,2018-02-01
2018-02-02,5.071518782375825,unh,2018-02-02
2018-02-05,36.61709982152263,unh,2018-02-05
2018-02-06,36.617099821522615,unh,2018-02-06
2018-02-07,29.43362860878849,unh,2018-02-07
2018-02-08,36.2052494328969,unh,2018-02-08
2018-02-09,41.09659731598925,unh,2018-02-09
2018-02-12,29.324811812637545,unh,2018-02-12
2018-02-13,29.324811812637545,unh,2018-02-13
2018-02-14,23.77476795944826,unh,2018-02-14
2018-02-15,27.060577578923738,unh,2018-02-15
2018-02-16,25.600390862706863,unh,2018-02-16
2018-02-20,25.749642653416295,unh,2018-02-20
2018-02-21,23.977147473900807,unh,2018-02-21
2018-02-22,22.470179201859537,unh,2018-02-22
2018-02-23,20.93086569643837,unh,2018-02-23
2018-02-26,8.23690093758167,unh,2018-02-26
2018-02-27,4.379395658911666,unh,2018-02-27
2018-02-28,18.64171568845173,unh,2018-02-28
2018-03-01,24.95417246509057,unh,2018-03-01
2018-03-02,25.231856603849607,unh,2018-03-02
2018-03-05,14.34750446930172,unh,2018-03-05
2018-03-06,14.347504469301727,unh,2018-03-06
2018-03-07,14.676133847345927,unh,2018-03-07
2018-03-08,14.107852120022304,unh,2018-03-08
2018-03-09,17.747400669702145,unh,2018-03-09
2018-03-12,15.971741872347533,unh,2018-03-12
2018-03-13,11.985167399974799,unh,2018-03-13
2018-03-14,7.049526855149027,unh,2018-03-14
2018-03-15,2.0948282781319674,unh,2018-03-15
2018-03-16,0.2483972337890411,unh,2018-03-16
