date,boll_ub,ticker,date
2018-01-02,,unh,2018-01-02
2018-01-03,210.98821014621475,unh,2018-01-03
2018-01-04,211.74578037154834,unh,2018-01-04
2018-01-05,215.83950109077526,unh,2018-01-05
2018-01-08,215.109349893213,unh,2018-01-08
2018-01-09,214.89635334433197,unh,2018-01-09
2018-01-10,214.4304811601469,unh,2018-01-10
2018-01-11,214.22351964150394,unh,2018-01-11
2018-01-12,215.07851401034213,unh,2018-01-12
2018-01-16,217.53782484388424,unh,2018-01-16
2018-01-17,221.56083242467892,unh,2018-01-17
2018-01-18,225.95768379329465,unh,2018-01-18
2018-01-19,228.81824866240555,unh,2018-01-19
2018-01-22,230.89425593706312,unh,2018-01-22
2018-01-23,232.8623974647904,unh,2018-01-23
2018-01-24,234.26921880559888,unh,2018-01-24
2018-01-25,235.4323579610418,unh,2018-01-25
2018-01-26,237.01306140967841,unh,2018-01-26
2018-01-29,238.07640572400157,unh,2018-01-29
2018-01-30,237.69064376147813,unh,2018-01-30
2018-01-31,237.4055230016079,unh,2018-01-31
2018-02-01,237.10919408925088,unh,2018-02-01
2018-02-02,236.75230210939148,unh,2018-02-02
2018-02-05,237.53189141239503,unh,2018-02-05
2018-02-06,237.49995813157062,unh,2018-02-06
2018-02-07,237.5039501604391,unh,2018-02-07
2018-02-08,238.4246944877791,unh,2018-02-08
2018-02-09,238.77387054294167,unh,2018-02-09
2018-02-12,238.87683272332686,unh,2018-02-12
2018-02-13,238.91493824369562,unh,2018-02-13
2018-02-14,238.57502083238052,unh,2018-02-14
2018-02-15,237.69860954861517,unh,2018-02-15
2018-02-16,236.63642438246077,unh,2018-02-16
2018-02-20,235.42163560949507,unh,2018-02-20
2018-02-21,233.75916033579745,unh,2018-02-21
2018-02-22,231.9218330132064,unh,2018-02-22
2018-02-23,229.86620353662894,unh,2018-02-23
2018-02-26,226.90971614155612,unh,2018-02-26
2018-02-27,223.47743359209295,unh,2018-02-27
2018-02-28,222.27772878802273,unh,2018-02-28
2018-03-01,220.8508588855224,unh,2018-03-01
2018-03-02,219.5877137233586,unh,2018-03-02
2018-03-05,219.10476220237467,unh,2018-03-05
2018-03-06,218.87898030486338,unh,2018-03-06
2018-03-07,218.95624018500803,unh,2018-03-07
2018-03-08,218.9491169316372,unh,2018-03-08
2018-03-09,217.79833258424398,unh,2018-03-09
2018-03-12,217.46822728431783,unh,2018-03-12
2018-03-13,217.51651117493537,unh,2018-03-13
2018-03-14,217.510796461132,unh,2018-03-14
2018-03-15,217.69545565696842,unh,2018-03-15
2018-03-16,217.8034233103509,unh,2018-03-16
2018-03-19,217.6166176846664,unh,2018-03-19
2018-03-20,217.6486693073819,unh,2018-03-20
2018-03-21,217.7465058123139,unh,2018-03-21
2018-03-22,219.08827745574635,unh,2018-03-22
2018-03-23,220.11122661993465,unh,2018-03-23
2018-03-26,219.024329322718,unh,2018-03-26
2018-03-27,218.1455161778618,unh,2018-03-27
2018-03-28,218.0723265804844,unh,2018-03-28
2018-03-29,218.49191317129387,unh,2018-03-29
2018-04-02,218.42528950508247,unh,2018-04-02
2018-04-03,218.0670973311206,unh,2018-04-03
2018-04-04,218.5260671284297,unh,2018-04-04
2018-04-05,218.89417335369282,unh,2018-04-05
2018-04-06,218.83420436108133,unh,2018-04-06
2018-04-09,218.63253699737845,unh,2018-04-09
2018-04-10,218.9824944360813,unh,2018-04-10
2018-04-11,218.57521610615706,unh,2018-04-11
2018-04-12,218.4709050398759,unh,2018-04-12
2018-04-13,217.76344399450724,unh,2018-04-13
2018-04-16,218.20945404284714,unh,2018-04-16
2018-04-17,220.98757271227606,unh,2018-04-17
2018-04-18,222.64674095496855,unh,2018-04-18
2018-04-19,224.2365899301333,unh,2018-04-19
2018-04-20,225.31092737575628,unh,2018-04-20
2018-04-23,225.69308869403966,unh,2018-04-23
2018-04-24,226.42287934660973,unh,2018-04-24
2018-04-25,227.00029296230306,unh,2018-04-25
2018-04-26,227.74540366463253,unh,2018-04-26
2018-04-27,228.10690239860625,unh,2018-04-27
2018-04-30,227.88541177281655,unh,2018-04-30
2018-05-01,228.34493022355457,unh,2018-05-01
2018-05-02,228.5184396760482,unh,2018-05-02
2018-05-03,228.72769790114694,unh,2018-05-03
2018-05-04,228.782867912487,unh,2018-05-04
2018-05-07,228.33773820938254,unh,2018-05-07
2018-05-08,228.17098876380513,unh,2018-05-08
2018-05-09,227.20989727629487,unh,2018-05-09
2018-05-10,226.39895024985768,unh,2018-05-10
2018-05-11,225.52549924388822,unh,2018-05-11
2018-05-14,226.67666575028352,unh,2018-05-14
2018-05-15,226.82628849977567,unh,2018-05-15
2018-05-16,227.61212249858653,unh,2018-05-16
2018-05-17,228.6066585016436,unh,2018-05-17
2018-05-18,229.85927365335857,unh,2018-05-18
2018-05-21,231.70423684598822,unh,2018-05-21
2018-05-22,232.65237241876991,unh,2018-05-22
2018-05-23,233.33314066792678,unh,2018-05-23
2018-05-24,233.73641323585562,unh,2018-05-24
2018-05-25,234.2889137201234,unh,2018-05-25
2018-05-29,234.57193304019893,unh,2018-05-29
2018-05-30,235.15578281723865,unh,2018-05-30
2018-05-31,235.17165576340463,unh,2018-05-31
2018-06-01,235.32239939506596,unh,2018-06-01
2018-06-04,235.6413025807258,unh,2018-06-04
2018-06-05,235.67631343002162,unh,2018-06-05
2018-06-06,235.88295340118592,unh,2018-06-06
