date,cci_30,ticker,date
2018-01-05,,aapl,2018-01-05
2018-01-08,66.66666666666667,aapl,2018-01-08
2018-01-09,-100.00000000002287,aapl,2018-01-09
2018-01-10,-122.47868579745926,aapl,2018-01-10
2018-01-11,129.724402329199,aapl,2018-01-11
2018-01-12,176.27561174550928,aapl,2018-01-12
2018-01-16,134.93937143660924,aapl,2018-01-16
2018-01-17,116.51382020668512,aapl,2018-01-17
2018-01-18,135.52208662018043,aapl,2018-01-18
2018-01-19,90.00056333494199,aapl,2018-01-19
2018-01-22,35.42699525421966,aapl,2018-01-22
2018-01-23,57.83506082273741,aapl,2018-01-23
2018-01-24,-56.40334391172565,aapl,2018-01-24
2018-01-25,-141.33759109975196,aapl,2018-01-25
2018-01-26,-152.47502820450558,aapl,2018-01-26
2018-01-29,-203.22280175896864,aapl,2018-01-29
2018-01-30,-213.7270218365175,aapl,2018-01-30
2018-01-31,-155.8901263673387,aapl,2018-01-31
2018-02-01,-129.56477047160502,aapl,2018-02-01
2018-02-02,-191.9022232418091,aapl,2018-02-02
2018-02-05,-207.2988593305885,aapl,2018-02-05
2018-02-06,-160.9220065293802,aapl,2018-02-06
2018-02-07,-136.87348060274837,aapl,2018-02-07
2018-02-08,-159.41690591772598,aapl,2018-02-08
2018-02-09,-160.9399994510032,aapl,2018-02-09
2018-02-12,-86.82400614135524,aapl,2018-02-12
2018-02-13,-61.519157883375364,aapl,2018-02-13
2018-02-14,-36.72618041889328,aapl,2018-02-14
2018-02-15,22.923265729854823,aapl,2018-02-15
2018-02-16,36.57666652197076,aapl,2018-02-16
2018-02-20,32.08893572196484,aapl,2018-02-20
2018-02-21,28.459973166378738,aapl,2018-02-21
2018-02-22,36.26040899727559,aapl,2018-02-22
2018-02-23,59.48185469499819,aapl,2018-02-23
2018-02-26,93.11239295887202,aapl,2018-02-26
2018-02-27,100.11006206584788,aapl,2018-02-27
2018-02-28,97.72118618198529,aapl,2018-02-28
2018-03-01,65.68339296190399,aapl,2018-03-01
2018-03-02,59.02774761089219,aapl,2018-03-02
2018-03-05,75.53094279273414,aapl,2018-03-05
2018-03-06,82.80656354806416,aapl,2018-03-06
2018-03-07,62.73571428549461,aapl,2018-03-07
2018-03-08,76.20136780360978,aapl,2018-03-08
2018-03-09,100.49434336842019,aapl,2018-03-09
2018-03-12,116.00349655532544,aapl,2018-03-12
2018-03-13,103.00085945119729,aapl,2018-03-13
2018-03-14,78.89675653695008,aapl,2018-03-14
2018-03-15,75.46666606714061,aapl,2018-03-15
2018-03-16,65.09486739256398,aapl,2018-03-16
2018-03-19,35.1632835456362,aapl,2018-03-19
2018-03-20,34.106854809950455,aapl,2018-03-20
2018-03-21,-6.800903063609579,aapl,2018-03-21
2018-03-22,-45.473152757549684,aapl,2018-03-22
2018-03-23,-104.68162803426559,aapl,2018-03-23
2018-03-26,-60.42748924128241,aapl,2018-03-26
