ticker,date,title,provider,neg,neu,pos,compound
AAPL,2012-07-16,Waiting For Direction On The Markets,Cam Hui,0.0,1.0,0.0,0.0
AAPL,2012-07-19,Mid Year Update  U S  And Canadian Stock Markets  By Sector,Baskin Financial Blog,0.0,1.0,0.0,0.0
AAPL,2012-07-23,Trade Apple After Earnings,Abigail Doolittle,0.0,1.0,0.0,0.0
AAPL,2012-07-23,Summer Heat Scorches Europe And U S ,John Nyaradi,0.0,1.0,0.0,0.0
AAPL,2012-07-23,Apple Earnings Preview  Quarterly Dip On Deck ,David Dyer,0.0,1.0,0.0,0.0
AAPL,2012-07-24,Market Bait And Switch,BB Finance Blog,0.0,1.0,0.0,0.0
AAPL,2012-07-27,Will AAPL Fall From The Tree  ,Alexandros Yfantis,0.0,1.0,0.0,0.0
AAPL,2012-07-29,Sifting Through The Earnings Rubble,Wade Slome,0.0,1.0,0.0,0.0
AAPL,2012-07-29,The Use And The Abuse Of The Weekly Options	,Kim Klaiman,0.344,0.656,0.0,-0.6369
AAPL,2012-07-30,Bulls Snatch Victory From Jaws of Defeat,Mercenary Trader,0.333,0.667,0.0,-0.4588
AAPL,2012-07-31,50 Stocks With The Best Dividend Growth In July 2012 ,Dividend Yield,0.0,0.541,0.459,0.7783
AAPL,2012-07-31,What s Driving China s Real Estate Rally   Part 3 ,Patrick Chovanec,0.0,1.0,0.0,0.0
AAPL,2012-08-02,Portfolio Foundations And Pitfalls,ETF Prophet,0.0,1.0,0.0,0.0
AAPL,2012-08-02,Sector Detector  Bulls Look To Central Banks For Support,Scott Martindale,0.0,0.748,0.252,0.4019
AAPL,2012-08-02,As Expected  Apple Fills Post Earnings Gap,Dr. Duru,0.0,1.0,0.0,0.0
AAPL,2012-08-07,Chart Review  Apple Breaks Out,Dr. Duru,0.0,1.0,0.0,0.0
AAPL,2012-08-07,AAPL With An Eye On The Upcoming iPhone 5,Alexandros Yfantis,0.0,1.0,0.0,0.0
AAPL,2012-08-10,Good Knight Public Markets,Dara Albright,0.0,0.508,0.492,0.4404
AAPL,2012-08-14,Largest USA Tech Companies Earnings Plunge  But Apple Still Dominates,David Dyer,0.0,0.874,0.126,0.0772
AAPL,2012-08-14,VIX Is Under 14   Now What ,ETF Prophet,0.0,1.0,0.0,0.0
AAPL,2012-08-15,Why Bearish Short Term  Still Buying Stocks Long Term ,Charles Biderman,0.0,1.0,0.0,0.0
AAPL,2012-08-16,AAPL Trade Considerations For Option Expiration Week,J.W. Jones,0.0,1.0,0.0,0.0
AAPL,2012-08-17,Pressure Released Into A Breakout  Apple On The Edge,Dr. Duru,0.239,0.761,0.0,-0.296
AAPL,2012-08-21,Stocks End with Small Losses  Late Gains For Financial Stocks Help Limit,Midnight Trader,0.161,0.536,0.304,0.34
